###❝에스페란토 어근❞, ❝(완전히 동일한) 에스페란토 어근❞   으로 구성된 행은、대응하는 치환 후 문자열이 존재하는 경우와 동일한 우선순위를 가지지만、 실제로는 문자열(한자) 치환을 수행하지 않는 것을 의미합니다.
에스페란토 어근##, 일본어 번역 루비##
koket,교태부리는
lojal,충성스러운
malic,악의 있는
mir/ind##,mir/ind##
raŭk,쉰
rigid,딱딱한
sekur,안전한
solen,장엄한
tener,부드러운
valid,유효한
abrupt,돌연한
absurd,불합리한
aktual,현존의
arbitr,임의의
aŭdac,대담한
ekzakt,정확한
furioz,격노한
graved,임신한
klasik,고전의
majest,위엄 있는
nervoz,신경질적
oblikv,비스듬한
obstin,완고한
plen/aĝ##,plen/aĝ##
social,사회적
subtil,섬세한
tragik,비극적인
absolut,절대적인
kontant,현금의
popular,인기 있는
relativ,상대적
sin/don##,sin/don##
solidar,연대의
vegetar,채식의
familiar,친근한
grandioz,웅장한
kolektiv,집단적
sin/gard##,sin/gard##
kompetent,유능한
universal,보편적
kvit,빚이 없는
miop,근시의
punc,선홍색의
ranc,썩은냄새나는
ĉast,정숙한
ekstr,별도의
masiv,육중한
antikv,고대의
arogant,거만한
konform,적합한
trivial,저속한
elokvent,능변의
kriminal,형사상의
predikat,술어
akut,예각의
dual,이중의
hirt,곧추선
kalv,대머리의
banal,진부한
cinik,냉소적인
gotik,고딕풍의
inert,무기력한
obtuz,둔한
okult,신비한
pasiv,수동의
rigor,엄격한
stoik,스토아의
analog,유사한
anonim,익명의
arkaik,고풍의
diafan,반투명한
efemer,덧없는
erotik,성애의
fiktiv,허구의
formal,형식적인
frivol,경솔한
intens,강렬한
invers,반대의
konciz,간결한
konkav,오목한
mistik,신비한
neŭtr,중성의
vulgar,저속한
akcesor,부속의
apokrif,가짜의
arĥaik,고풍의
burlesk,희극적인
decimal,십진법의
diskret,신중한
fanatik,광신적
grotesk,기괴한
konkret,구체적
kontinu,연속적인
liberal,자유주의의
monoton,단조로운
negativ,부정적인
nominal,명의상의
pozitiv,긍정적인
radikal,급진적인
skeptik,회의적인
solvent,지불능력있는
abstrakt,추상적인
aŭtonom,자치의
eventual,가능한
inkluziv,포함된
neŭtral,중립의
objektiv,객관적
ortodoks,정통의
primitiv,원시의
provizor,임시의
racional,유리의
romantik,낭만적인
sinoptik,일람용의
spontane,자발적인
aŭtentik,진짜의
definitiv,확정된
ekskluziv,배타적
korelativ,상관적
respektiv,각자의
subjektiv,주관적인
transitiv,타동의
spekulativ,사변적
impertinent,무례한
konservativ,보수적인
sentimental,감상적인
dek,십
mil,천
sep,일곱
ses,여섯
tri,삼
unu,하나
cent,백
kvar,넷
kvin,다섯
naŭ,구
aŭ,또는
nek,도 아니다
sed,하지만
kvankam,비록
plus,플러스
minus,마이너스
ĉe,가에
kun,함께
per,…으로(써)
pri,관하여
pro,때문에
sen,없이
sub,아래
sur,위에
tra,통과하여
apud,옆에
krom,제외하고
laŭ,따라
post,후에
inter,사이에
super,위에
trans,건너편에
antaŭ,앞에
ekster,밖에
preter,지나서
kontraŭ,반대하여
malgraŭ,불구하고
ĝi,그것
ili,그들
kio,무엇
oni,사람들
ŝi,그녀
tio,그것
ĉio,모든 것
nenio,아무것도
tio ĉi##,tio ĉi##
dis,분산
mal,반대
ĉef,주요
eks,전(前)
mis,잘못된
pra,원시
dev,해야 하다
dir,말하다
don,주다
est,있다
far,만들다
fin,끝내다
hav,가지다
kon,알다
leg,읽다
lev,올리다
met,놓다
mov,움직이다
pet,부탁하다
pov,할 수 있다
rid,웃다
sci,알다
sid,앉다
ten,잡다
ven,오다
vid,보다
viv,살다
vol,원하다
ĝoj,기뻐하다
help,돕다
kred,믿다
lern,배우다
loĝ,살다
mort,죽다
okaz,발생하다
port,운반하다
pren,잡다
sekv,따르다
send,보내다
star,서다
dezir,원하다
labor,일하다
milit,전쟁하다
montr,보여주다
parol,말하다
ricev,받다
skrib,쓰다
ŝajn,같아 보이다
vetur,타다
demand,질문하다
komenc,시작하다
kompren,이해하다
respond,대답하다
bat,치다
fal,떨어지다
kri,외치다
kur,달리다
las,놔두다
lum,빛나다
mir,놀라다
pag,지불하다
pas,지나가다
reg,통치하다
son,소리나다
tim,무서워하다
tir,당기다
aŭd,듣다
brul,타다
dank,감사하다
dorm,자다
ferm,닫다
flug,날다
halt,멈추다
ĵet,던지다
kant,노래하다
kost,비용이 들다
mank,부족하다
nask,낳다
okup,차지하다
pens,생각하다
perd,잃다
prem,누르다
prov,시험하다
sent,느끼다
turn,돌리다
aĉet,사다
atend,기다리다
bezon,필요하다
kresk,성장하다
manĝ,먹다
memor,기억하다
serĉ,찾다
trink,마시다
konsil,조언하다
permes,허락하다
postul,요구하다
rakont,이야기하다
rigard,보다
rimark,알아차리다
ŝanĝ,바꾸다
vojaĝ,여행하다
konstru,짓다
prezent,제출하다
renkont,만나다
bru,소음내다
dub,의심하다
lav,씻다
lud,놀다
pen,노력하다
vek,깨우다
vok,부르다
aper,나타나다
bril,빛나다
erar,틀리다
fest,축하하다
frap,치다
gajn,이기다
kapt,잡다
kaŝ,숨기다
kovr,덮다
kuir,요리하다
kuŝ,눕다
paŝ,걷다
plor,울다
romp,부수다
salt,뛰다
serv,섬기다
tuŝ,만지다
vend,팔다
zorg,돌보다
batal,싸우다
elekt,선택하다
esper,희망하다
koler,화내다
mezur,측정하다
opini,생각하다
ordon,명령하다
plend,불평하다
ripoz,휴식하다
salut,인사하다
sufer,고통받다
akcept,수락하다
forges,잊다
kalkul,계산하다
komerc,거래하다
konduk,이끌다
pardon,용서하다
silent,조용히 하다
tranĉ,자르다
konsent,동의하다
aŭskult,듣다
ban,목욕시키다
flu,흐르다
kre,창조하다
mok,조롱하다
amuz,즐겁게 하다
ĉes,중지하다
efik,효과내다
gard,지키다
juĝ,재판하다
klin,기울이다
pend,매달리다
puŝ,밀다
spir,숨쉬다
stud,연구하다
ŝat,좋아하다
tond,자르다
traf,명중하다
ating,도달하다
decid,결정하다
estim,존경하다
invit,초대하다
kurac,치료하다
marŝ,행진하다
plaĉ,마음에 들다
ripet,반복하다
ŝlos,잠그다
ŝtel,훔치다
vizit,방문하다
aranĝ,정리하다
ekzist,존재하다
instru,가르치다
intenc,의도하다
kompat,동정하다
prefer,선호하다
prepar,준비하다
promen,산책하다
promes,약속하다
sukces,성공하다
konserv,보존하다
bol,끓다
kis,키스하다
obe,복종하다
paf,쏘다
pel,몰다
pik,찌르다
pun,벌하다
sav,구조하다
tus,기침하다
akir,얻다
apog,기대다
atak,공격하다
bala,쓸다
blov,불다
ĉas,사냥하다
danc,춤추다
eduk,교육하다
evit,피하다
fleg,간호하다
glit,미끄러지다
gvid,안내하다
ĝen,방해하다
hejt,난방하다
hont,부끄러워하다
imag,상상하다
imit,모방하다
komb,빗다
mend,주문하다
miks,섞다
naĝ,수영하다
plug,갈다
pres,인쇄하다
soif,갈증나다
spez,출납하다
ŝir,찢다
trem,떨다
trov,발견하다
venk,이기다
viŝ,닦다
volv,감다
anonc,알리다
aprob,승인하다
avert,경고하다
merit,자격이 있다
minac,위협하다
pentr,그리다
posed,소유하다
preĝ,기도하다
rifuz,거절하다
rilat,관계하다
ripar,수리하다
skrap,긁다
ŝerc,농담하다
tromp,속이다
defend,방어하다
desegn,그리다
esting,끄다
inform,알리다
kompar,비교하다
kondut,행동하다
konfes,고백하다
konsci,의식하다
kultur,재배하다
mensog,거짓말하다
rezult,결과로서 생기다
rikolt,수확하다
streĉ,긴장시키다
ŝovel,삽질하다
akompan,동행하다
aparten,속하다
bedaŭr,유감스럽게
konsist,구성되다
organiz,조직하다
progres,진보하다
respekt,존경
riproĉ,질책하다
diferenc,다르다
rekomend,추천하다
korespond,서신교환하다
enu,지루하다
fid,믿다
ĝu,즐기다
hak,찍다
log,유혹하다
pek,죄짓다
pes,달다
raz,면도
dron,익사하다
fajf,휘파람 불다
fand,녹이다
farm,소작하다
fart,지내다
frot,문지르다
ĝem,신음하다
krev,터지다
kudr,꿰매다
mord,물다
muel,빻다
nutr,먹이다
odor,냄새나다
rajd,타다
solv,해결하다
taks,평가하다
teks,짜다
tent,유혹하다
urĝ,급하다
babil,잡담하다
detru,파괴하다
difin,정의하다
distr,산만하게 하다
diven,추측하다
divid,나누다
etend,펴다
evolu,진화하다
forĝ,단련하다
frand,간식하다
grimp,기어오르다
hezit,주저하다
kroĉ,걸다
laŭd,칭찬하다
mason,쌓다
ofert,제공하다
ornam,장식하다
petol,장난치다
sonĝ,꿈꾸다
stern,깔다
supoz,추측하다
ŝirm,보호하다
ŝpar,절약하다
ŝtop,막다
ŝuld,빚지다
ŝvel,부풀다
toler,참다
verŝ,붓다
aspekt,보이다
daŭr/ig##,daŭr/ig##
difekt,손상하다
diskut,토론하다
domaĝ,아까워하다
ekscit,자극하다
ekzerc,훈련하다
esplor,탐구하다
esprim,표현하다
konsol,위로하다
murmur,중얼거리다
prezid,사회하다
signif,의미하다
skulpt,조각하다
traduk,번역하다
ekskurs,소풍
ekzamen,시험하다
komunik,전달하다
koncern,관계되다
konstat,확인하다
protekt,보호하다
protest,항의하다
renvers,뒤집다
surpriz,놀라게 하다
konsider,고려하다
persekut,박해하다
reprezent,대표하다
bak,굽다
ben,축복하다
boj,짖다
bor,뚫다
ced,양보하다
cit,인용하다
lek,핥다
rab,약탈하다
rav,매혹하다
rem,노젓다
rev,꿈꾸다
seg,톱질하다
sku,흔들다
ted,지루하게 하다
teg,덮다
abon,구독하다
dung,고용
envi,부러워하다
flar,냄새맡다
fond,설립하다
frit,튀기다
friz,컬하다
gest,몸짓하다
glad,다리다
glut,삼키다
ĵur,맹세하다
kned,반죽하다
maĉ,씹다
melk,착유하다
migr,이동하다
munt,조립하다
ofer,제물로 바치다
pent,후회하다
pruv,증명하다
pump,펌프질하다
putr,부패하다
ramp,기다
risk,위험을 무릅쓰다
ronk,코골다
rost,굽다
sven,기절하다
ŝov,밀다
ŝut,붓다
tajl,재단하다
tord,비틀다
tren,끌다
vari,변하다
velk,시들다
adici,더하다
admir,감탄하다
admon,훈계하다
adopt,입양하다
akcel,가속하다
atest,증명하다
ĉerp,뜨다
degel,녹다
deleg,파견하다
fleks,구부리다
flirt,펄럭이다
hered,상속받다
influ,영향을 주다
kares,애무하다
medit,명상하다
naŭz,구역질나다
osced,하품하다
paŝt,방목하다
paŭz,정지하다
pinĉ,꼬집다
plekt,엮다
regal,대접하다
ribel,반란하다
sopir,그리워하다
sorĉ,마법을 걸다
strik,파업하다
sufok,질식시키다
sving,흔들다
ŝarg,장전하다
ŝmir,바르다
trakt,다루다
tremp,담그다
afrank,우편요금 지불
asekur,보험하다
balanc,흔들다
barakt,몸부림치다
dediĉ,바치다
deklar,선언하다
destin,예정하다
disput,논쟁하다
escept,제외하다
festen,연회하다
frakas,부수다
gratul,축하하다
ilustr,삽화를 넣다
import,수입하다
insist,고집하다
instal,설치하다
instig,부추기다
insult,모욕하다
komand,지휘하다
komisi,위임하다
konfid,신뢰하다
konfit,절이다
konfuz,혼란시키다
konkur,경쟁하다
kritik,비판하다
observ,관찰하다
penetr,침투하다
perfid,배신하다
proced,처리하다
raport,보고하다
reklam,광고하다
rezign,포기하다
rezist,저항하다
rifuĝ,피난하다
brak/um##,brak/um##
civiliz,문명화하다
ĉagren,괴롭히다
de/pend##,de/pend##
disting,구별하다
eksplod,폭발하다
garanti,보증하다
komplez,친절
kondamn,비난하다
konfirm,확인하다
konjekt,추측하다
konklud,결론짓다
kontrol,검사하다
konvink,설득하다
operaci,수술하다
plen/um##,plen/um##
pretend,주장하다
suspekt,의심하다
turment,괴롭히다
distribu,분배하다
fanfaron,자랑하다
kontrakt,계약하다
mastr/um##,mastr/um##
prokrast,연기하다
administr,관리하다
el/turn/iĝ##,el/turn/iĝ##
entrepren,시도하다
dec,적합하다
juk,가렵다
lul,흔들다
vad,도섭하다
vag,방황하다
vet,걸다
vom,토하다
zum,윙윙거리다
ador,숭배하다
agit,선동하다
akuz,고소하다
alud,암시하다
bapt,세례하다
bind,제본하다
blek,울다
bred,사육하다
buĉ,도살하다
ĉif,구기다
dikt,구술하다
dres,조련하다
ekip,장비하다
est/ig##,est/ig##
fast,단식하다
flat,아첨하다
flik,깁다
fuĝ,도망치다
fuŝ,망치다
garn,보강하다
grat,긁다
hav/ig##,hav/ig##
izol,격리하다
jung,매다
lukt,싸우다
muĝ,포효하다
opon,반대하다
palp,더듬다
pekl,절이다
pere,죽다
pli/ig##,pli/ig##
sark,제초하다
sekc,절단하다
sorb,흡수하다
spit,무시하다
suĉ,빨다
svat,중매하다
tajp,타자하다
tern,재채기하다
tikl,간질이다
tint,딸랑거리다
trik,뜨다
trud,강요하다
vart,돌보다
adapt,적응시키다
aplik,적용하다
asert,단언하다
asist,돕다
balot,투표하다
ĉe/est##,ĉe/est##
delir,헛소리하다
depon,맡기다
deput,대리로하다
enket,조사하다
eskap,탈출하다
falĉ,베다
flagr,펄럭이다
for/est##,for/est##
grinc,삐걱대다
ignor,무시하다
impet,돌진하다
incit,자극하다
indik,지시하다
insid,함정 파다
inund,범람하다
kraĉ,침뱉다
liver,배달하다
menci,언급하다
modif,수정하다
ofend,모욕하다
rezon,추론하다
rivel,드러내다
start,출발하다
susur,바스락거리다
ŝpin,잣다
trejn,훈련하다
venĝ,복수하다
abstin,절제하다
aflikt,괴롭히다
altern,교대하다
balbut,더듬다
cirkul,순환하다
deĵor,당직하다
denunc,고발하다
de/ten##,de/ten##
dev/ont/ig##,dev/ont/ig##
digest,소화하다
dispon,사용하다
dorlot,응석받다
eksped,발송하다
el/don##,el/don##
establ,설립하다
flustr,속삭이다
grimac,찡그리다
grumbl,투덜대다
implik,"휘감다, 얽히다"
indign,분개하다
indulg,용서하다
infekt,감염시키다
injekt,주사하다
inspir,영감 주다
invent,발명하다
klopod,노력하다
kolizi,충돌하다
kombin,결합하다
kompon,구성하다
konsum,소비하다
korekt,수정하다
lubrik,윤활하다
manovr,기동하다
plonĝ,다이빙하다
preleg,강연
propon,제안하다
provok,자극하다
recenz,비평하다
redakt,편집하다
redukt,줄이다
revizi,교열하다
ŝpruc,분출하다
aplaŭd,박수치다
blasfem,신성모독하다
bon/vol##,bon/vol##
brokant,중고품 매매하다
eksport,수출하다
ekzekut,처형하다
gust/um##,gust/um##
iniciat,시작하다
kalumni,중상하다
kompens,배상하다
komplik,복잡하게
kontest,이의 제기
manipul,조작하다
neglekt,소홀히하다
persist,고집하다
prononc,발음하다
prosper,번창하다
reflekt,반사하다
re/form##,re/form##
subtrah,빼다
ŝancel,흔들다
televid,시청
determin,결정하다
ekspluat,개발하다
koncentr,집중하다
mistifik,속이다
preskrib,처방하다
revoluci,혁명하다
riverenc,절하다
interpret,통역하다
kompromit,위태롭게 하다
multiplik,곱하다
propagand,선전하다
konversaci,대화하다
interpelaci,질의
erp,써레질하다
kov,품다
lut,납땜하다
pep,짹짹거리다
tan,무두질하다
agac,짜증나게 하다
brod,자수하다
brog,데다
ĉiz,조각하다
edif,교화하다
fajl,줄질하다
krak,탁 소리내다
kroz,순항하다
pist,빻다
rasp,갈다
rast,긁다
rigl,빗장 지르다
rukt,트림
sibl,휘파람 불다
skiz,스케치하다
sput,뱉다
steb,꿰매다
stuk,미장하다
ŝim,곰팡이 슬다
torn,선반하다
trot,속보로 달리다
urin,소변
varb,모집하다
adult,간통하다
afekt,척하다
akuŝ,출산하다
arest,체포
asign,할당하다
atenc,모해하다
draŝ,탈곡하다
drink,술 마시다
ekzil,추방하다
filtr,여과하다
infuz,우려내다
kribr,체질하다
parad,행진하다
rabot,대패질하다
rafin,정제하다
satur,포화시키다
sieĝ,포위하다
skerm,펜싱하다
strab,사팔뜨기하다
ŝmac,쩝쩝거리다
uzurp,강탈하다
veget,자라다
border,테를 두르다
ĉikan,트집잡다
degrad,강등하다
diboĉ,방탕하다
distil,증류하다
drapir,장식하다
gargar,양치하다
gravur,새기다
guvern,보육하다
ilumin,조명하다
inokul,접종하다
intrig,음모하다
ĵongl,곡예하다
kartav,목구멍발음하다
kontuz,멍들게 하다
likvid,청산하다
makler,중개하다
plaŭd,철썩거리다
predik,설교하다
rembur,채우다
ventol,환기하다
deĉifr,해독하다
degener,퇴화하다
diskont,할인하다
ferment,발효하다
kalfatr,틈막이하다
kolport,행상하다
kompost,조판하다
konspir,음모하다
konvert,개종시키다
paraliz,마비시키다
proklam,선포하다
singult,딸꾹질하다
ĉarpent,목수일하다
hipokrit,위선하다
intermit,간헐하다
konstern,경악시키다
marĉand,흥정하다
kapitulac,항복하다
kaŭteriz,부식하다
komentari,주석하다
koment,주석하다
poz,포즈 취하다
vak,비다
boks,권투하다
ĝir,이체하다
kirl,휘젓다
klak,딱딱 소리내다
kluk,울다
knar,삐걱대다
murd,살해하다
pled,변호하다
sond,측정하다
tatu,문신하다
abdik,퇴위하다
abort,유산하다
agoni,임종 고통 느끼다
aklam,환호하다
amput,절단하다
aneks,합병하다
aspir,열망하다
deriv,파생시키다
feder,연합하다
impon,감명 주다
invad,침략하다
kaŭr,쭈그리다
klaĉ,험담하다
kliŝ,복제하다
kotiz,회비 내다
marin,절이다
miaŭ,야옹하다
modul,변조하다
refut,논박하다
rikan,비웃다
streb,노력하다
svarm,떼지어우글거리다
ŝveb,떠돌다
absorb,흡수하다
akapar,매점하다
analiz,분석하다
asimil,동화하다
asperg,뿌리다
atribu,귀속시키다
aŭgur,점치다
bojkot,보이콧하다
cenzur,검열하다
dedukt,연역하다
deklam,낭독하다
dekolt,노출하다
indukt,귀납하다
kompil,편찬하다
konced,용인하다
konker,정복하다
korupt,매수하다
kverel,다투다
lament,한탄하다
narkot,마취시키다
stimul,자극하다
strigl,빗질하다
ŝrump,쭈그러들다
amortiz,상환하다
anticip,예상하다
apelaci,호소하다
bankrot,파산하다
bombard,폭격하다
emancip,해방하다
inspekt,감사하다
katekiz,교리문답하다
koincid,일치하다
konfisk,몰수하다
konsekr,봉헌하다
konsult,상담하다
legitim,증명하다
mobiliz,동원하다
pilgrim,순례하다
improviz,즉흥하다
inaŭgur,개막식하다
karambol,충돌하다
kateĥiz,교리문답하다
klasifik,분류하다
kontribu,기여하다
litograf,석판인쇄
prostitu,매춘시키다
centraliz,집중시키다
stenograf,속기하다
ekskomunik,파문하다
karakteriz,특징짓다
aĵ,물건
ant,~는 중인
ebl,가능한
iĝ,되다
ind,가치
int,완료한
ism,주의
ist,전문가
obl,배수
ont,미래분사
estr,장
aĉ,악질
ĉj##,ĉj##
end,해야 할
ing,꽂이
ajn,든지
ĉi##,ĉi##
eĉ##,eĉ##
for,멀리
iam,언젠가
iom,약간
jam,이미
jen,여기
jes,예
kie,어디에
mem,자신
nun,지금
nur,단지
pli,더
plu,더
tie,거기
tre,매우
tro,너무
tuj,곧
ĉie,도처에
ĵus,방금
kiam,언제
plej,가장
tial,그래서
tiam,그때
tiel,그렇게
tiom,그만큼
ĉiam,항상
nenie,어디에도 않다
ankaŭ,또한
neniam,결코
baldaŭ,곧
hieraŭ,어제
hodiaŭ,오늘
morgaŭ,내일
tie ĉi##,tie ĉi##
almenaŭ,적어도
ankoraŭ,아직
preskaŭ,거의
tiel ĉi##,tiel ĉi##
oft,자주
ial,어떤 이유로
iel,어떻게든
volont,자진하여
des,그만큼
neniom,조금도
ĉial,모든 이유로
ĉiom,전량
ia/foj##,ia/foj##
nenial,어떠한 이유도 없이
neniel,결코
parker,암기하여
foj,번
hom,사람
jar,년
kap,머리
kor,심장
lok,장소
man,손
nom,이름
tag,날
ter,땅
vir,남자
voj,길
afer,일
amik,친구
form,형태
kamp,밭
land,나라
mond,세계
naci,국민
patr,부친
temp,시간
vort,단어
flank,옆면
infan,아이
patr/in##,patr/in##
ĉambr,방
sinjor,신사
akv,물
arb,나무
art,예술
dom,집
edz,남편
fil,아들
har,털
hor,시간
lit,침대
mar,바다
mon,돈
mur,벽
pac,평화
pec,조각
sun,태양
urb,도시
bild,그림
bird,새
buŝ,입
frat,형제
hejm,가정
knab,소년
kort,뜰
libr,책
mont,산
okul,눈
part,부분
pied,발
pord,문
rajt,권리
tabl,테이블
vent,바람
vest,옷
fingr,손가락
frukt,과일
kolor,색
leter,편지
lingv,언어
maten,아침
popol,국민
punkt,점
rimed,수단
valor,가치
ĉeval,말
famili,가족
fraŭl,총각
person,사람
semajn,주간
vesper,저녁
vizaĝ,얼굴
fenestr,창문
aer,공기
aĝ,나이
cel,목적
fer,철
ide,관념
kat,고양이
kol,목
mez,중간
naz,코
nub,구름
ord,순서
pan,빵
roz,장미
best,동물
bord,물가
brak,팔
dent,"이, 치아"
fajr,불
fiŝ,물고기
flor,꽃
glas,컵
hund,개
korp,몸
lakt,우유
lign,목재
lini,선
mark,표시
neĝ,눈
nokt,밤
onkl,삼촌
orel,귀
plum,펜
pluv,비
rond,원형
sang,피
seĝ,의자
spec,종류
stat,상태
supr,위
ŝip,배
vitr,유리
angul,각
daŭr,지속
dolor,통증
gazet,잡지
kaŭz,원인
kutim,습관
minut,분
monat,달
natur,자연
nombr,수
paper,종이
plank,바닥
river,강
somer,여름
staci,역
strat,길
suker,설탕
ŝton,돌
vagon,차량
veter,날씨
vintr,겨울
aŭtun,가을
ĉapel,모자
direkt,방향
kolekt,수집품
moment,순간
plezur,기쁨
vilaĝ,마을
ekzempl,예
ĝarden,정원
histori,역사
printemp,봄
bov,소
ink,잉크
kaf,커피
kok,닭
kuk,케이크
kuz,사촌
lag,호수
lim,경계
lun,달
maj,5월
pak,포장
sak,자루
sum,합계
tru,구멍
vin,포도주
anim,혼
azen,당나귀
benk,벤치
dors,등
foli,잎
font,원천
fund,바닥
genu,무릎
gren,곡물
grup,그룹
herb,풀
juli,7월
juni,유월
kart,카드
klas,계층
korb,바구니
kruc,십자가
krur,정강이
lang,혀
leĝ,법
lund,월요일
mard,화요일
mart,3월
ofic,직무
ombr,그림자
paĝ,페이지
pork,돼지
poŝ,주머니
radi,선(線)
reĝ,왕
senc,의미
stel,별
ŝaf,양
verk,저작
voĉ,목소리
adres,주소
april,사월
brust,가슴
buter,버터
donac,선물
glaci,얼음
kuler,숟가락
mastr,주인
muzik,음악
numer,번호
poŝt,우편
prunt,대여
sabat,토요일
ŝtat,국가
ŝtup,단계
teler,접시
terur,공포
vapor,증기
insekt,곤충
januar,1월
ĵaŭd,목요일
kovert,봉투
krajon,연필
manier,방법
objekt,물체
oktobr,시월
plafon,천장
region,지역
religi,종교
spirit,정신
arĝent,은
danĝer,위험
decembr,12월
dimanĉ,일요일
februar,이월
horloĝ,시계
merkred,수요일
novembr,11월
produkt,생산물
vendred,금요일
septembr,9월
bar,장애
bek,부리
fak,분야
fum,연기
gas,가스
gut,물방울
jak,재킷
kel,지하실
kuv,큰통
lip,입술
nep,손자
nev,조카
not,메모
ole,기름
ond,파도
ost,뼈
par,쌍
pom,사과
pot,항아리
rad,바퀴
ret,망
sal,소금
sap,비누
sem,씨앗
sud,남
sup,스프
ŝu,구두
tas,잔
tol,린넨
tuk,천
ung,손톱
val,계곡
vic,열
barb,수염
bros,솔
fakt,사실
flag,기
fork,포크
forn,난로
gast,손님
gras,지방
kapr,염소
karb,석탄
kest,상자
korn,뿔
krim,범죄
lamp,램프
mebl,가구
mien,얼굴 표정
muŝ,파리
nord,북
past,반죽
pilk,공
pint,끝
polv,먼지
pont,다리
prez,가격
rand,가장자리
regn,국가
seri,연속
sign,부호
sort,운명
spic,양념
vang,뺨
vost,꼬리
vund,상처
botel,병
buton,단추
cifer,숫자
faden,실
frunt,이마
haŭt,피부
honor,명예
insul,섬
kajer,노트
kamen,벽난로
legom,채소
liter,글자
metal,금속
pingl,핀
polic,경찰
polur,광택
premi,상
regul,규칙
sezon,계절
ŝanc,기회
ŝnur,밧줄
tabul,판자
viand,고기
baston,막대기
branĉ,가지
ĉemiz,셔츠
doktor,박사
kravat,넥타이
lecion,수업
maŝin,기계
milion,백만
najbar,이웃
parenc,친척
publik,공중
scienc,과학
sekret,비밀
skatol,상자
soldat,군인
spegul,거울
ŝarĝ,짐
ŝrank,장롱
tualet,화장대
ĉapitr,장
fromaĝ,치즈
kondiĉ,조건
praktik,실천
serpent,뱀
